journal_name,discipline,inception_year
Acta Astronomica,Astronomy,1925
Advances in Space Research,Astronomy,1981
AIP Conference Proceedings,Physics,1970
Annual Review of Astronomy and Astrophysics,astronomy,1963
Annual Review of Earth and Planetary Sciences,Earth science,1973
Astrobiology,Astrobiology,2001
The Astronomical Journal,Astronomy,1849
Astronomical Review,Astronomy,2011
Astronomische Nachrichten,Astronomy,1821
Astronomy and Astrophysics,Astronomy,1969
Astronomy and Computing,Astronomy,2013
The Astronomy and Astrophysics Review,Astronomy,1989
Astronomy & Geophysics,Astronomy,1960
Astronomy Letters,Astronomy,1994
Astroparticle Physics,Astroparticle physics,1992
The Astrophysical Journal,Astronomy,1895
Astrophysics (journal),Astrophysics,1965
Astrophysics and Space Science,Astronomy,1968
Bulletin of the American Astronomical Society,Astronomy,1969
Bulletin of the Astronomical Society of India,Astronomy,1973
Celestial Mechanics and Dynamical Astronomy,Astronomy,1969
Cosmic Research,Space science,1963
Earth Moon and Planets,Planetary science,1969
Earth and Planetary Science Letters,Planetary science,1966
General Relativity and Gravitation,Physics,1970
Geophysical Research Letters,Geophysics,1974
Icarus,Planetary science,1962
International Journal of Astrobiology,Astrobiology,2002
Journal of Astronomical History and Heritage,History of astronomy,1998
Journal of the British Interplanetary Society,Astronautics,1934
Journal of Cosmology,Cosmology,2009
Journal of Cosmology and Astroparticle Physics,Cosmology,2003
Journal of Geophysical Research,Geophysics,1896
Journal for the History of Astronomy,History,1970
Journal of the Korean Astronomical Society,Astronomy,1968
Journal of the Royal Astronomical Society of Canada,Astronomy,1907
Living Reviews in Solar Physics,Astronomy,2004
Meteoritics & Planetary Science,Planetary science,1953
Monthly Notices of the Royal Astronomical Society,Astronomy,1827
Nature Geoscience,Geosciences,2008
New Astronomy,Astronomy,1996
Astronomy Letters,Astronomy,1994
Planetary and Space Science,Solar System,1959
Publications of the Astronomical Society of Australia,Astronomy,1995
Publications of the Astronomical Society of Japan,Astronomy,1949
Publications of the Astronomical Society of the Pacific,Astronomy,1889
Solar Physics,Astrophysics,1967
Accounts of Chemical Research,Chemistry,1968
Acta Chimica Slovenica,Chemistry,1954
Advanced Functional Materials,Materials Science,1985
Aldrichimica Acta,Chemistry,1968
Analyst,Analytical chemistry,1876
Analytical and Bioanalytical Chemistry,Chemistry,1862
Analytical Chemistry,Chemistry,1929
Angewandte Chemie,Chemistry,1887
Annual Reports on the Progress of Chemistry Section A,Chemistry,1904
Annual Reports on the Progress of Chemistry Section B,Chemistry,1904
Annual Reports on the Progress of Chemistry Section C,Chemistry,1904
Annual Review of Physical Chemistry,Physical chemistry,1950
Applied Organometallic Chemistry,Chemistry,1987
Arkivoc,Organic chemistry,2000
Australian Journal of Chemistry,Chemistry,1948
Beilstein Journal of Organic Chemistry,Organic chemistry,2005
Biochemical Journal,Biochemistry,1906
Bioconjugate Chemistry,Chemistry,1990
Biomacromolecules,Chemistry,2000
Biomedical Chromatography,Biochemistry,1986
Bulletin of the Chemical Society of Japan,Chemistry,1926
Canadian Journal of Chemistry,Chemistry,1929
Catalysis Science & Technology,Chemistry,2011
Catalysts and Catalysed Reactions,Chemistry,2002
Central European Journal of Chemistry,Chemistry,2003
ChemBioChem,Chemical biology,2000
ChemMedChem,Chemistry,2006
ChemPhysChem,Physical chemistry,2000
ChemPlusChem,Chemistry,1929
Chemical Communications,Chemistry,1989
Chemical Physics Letters,Chemical physics,1967
Chemical Reviews,Chemistry,1924
Chemical Society Reviews,Chemistry,1971
Berichte der Deutschen,Chemistry,1868
Chemischen Gesellschaft,Chemistry,1868
Chemistry Education Research and Practice,Chemistry education,2000
Chemistry: A European Journal,Chemistry,1995
Chemistry Letters,Chemistry,1972
Chemistry of Materials,Chemistry,1989
Chemometrics and Intelligent Laboratory Systems,Chemometrics,1986
ChemPlusChem,Chemistry,1929
CrystEngComm,Chemistry,1999
Dalton Transactions,Chemistry,1966
Energy and Environmental Science,Environmental science,2008
Environmental Chemistry,Chemistry,2004
European Journal of Inorganic Chemistry,Chemistry,1998
European Journal of Medicinal Chemistry,Medicinal chemistry,1966
European Journal of Organic Chemistry,Chemistry,1998
Energy & Fuels,Chemistry,1987
Faraday Discussions,Physical chemistry,1947
Journal of the Chemical Society Faraday Transactions,Chemistry,1905
Geostandards and Geoanalytical Research,Analytical chemistry,1977
Green Chemistry,Chemistry,1999
Helvetica Chimica Acta,Chemistry,1918
Inorganic Chemistry,Inorganic Chemistry,1962
International Journal of Hydrogen Energy,Hydrogen energy,1976
International Journal of Quantum Chemistry,Quantum chemistry,1967
Ion Exchange Letters,Chemistry,2008
Journal of Analytical Atomic Spectrometry,Analytical chemistry,1986
Journal of Agricultural and Food Chemistry,Applied chemistry,1953
Journal of the American Chemical Society,Chemistry,1879
Journal of Applied Polymer Science,Polymer science,1959
Journal of Biological Chemistry,Biochemistry,1905
Journal of Biological Inorganic Chemistry,Life sciences,1996
Journal of the Brazilian Chemical Society,Chemistry,1990
Journal of Catalysis,Catalysis,1962
Journal of Chemical Education,Chemistry,1924
Journal of Chemical Information and Modeling,Cheminformatics,1961
Journal of Chemical Physics,Chemical physics,1933
Journal of the Chemical Society of Pakistan,Chemistry,1978
Journal of Chemical Sciences,Chemistry,1978
The Journal of Chemical Thermodynamics,Thermodynamics,1969
Journal of the Chemical Society,Chemistry,1849
Journal of Chemometrics,Chemistry,1987
Journal of Chromatography A,Analytical Chemistry,1958
Journal of Cluster Science,Chemistry,1990
ACS Combinatorial Science,Combinatorial Chemistry,1999
Journal of Computational Chemistry,Chemistry,1980
Environmental Science: Processes & Impacts,Environmental science,1999
Journal of Heterocyclic Chemistry,Organic chemistry,1964
Journal of Mass Spectrometry,Chemistry,1968
Journal of Materials Chemistry,Materials science,1991
Computational and Theoretical Chemistry,Chemistry,1985
Journal of Medicinal Chemistry,Medicinal chemistry,1959
Journal of Natural Products,Biochemistry,1938
Journal of Organic Chemistry,Organic Chemistry,1936
Journal of Organometallic Chemistry,Organometallic chemistry,1964
Journal of Physical Chemistry A,Physical Chemistry,1896
Journal of Physical Chemistry B,Physical Chemistry,1997
Journal of Physical Chemistry C,Physical Chemistry,2007
Journal of Polymer Science Part A,Polymer science,1946
Journal of Polymer Science Part B,Polymer science,1946
Journal of Radioanalytical and Nuclear Chemistry,Chemistry,1968
Journal of Thermal Analysis and Calorimetry,Chemistry,1969
Lab on a Chip,Miniaturisation,2001
Langmuir,Chemistry,1985
Liebigs Annalen,Chemistry,1832
Macromolecules,Macromolecular science,1968
Magnetic Resonance in Chemistry,Chemistry,1969
Methods in Organic Synthesis,Chemistry,1998
Molbank,Chemistry,1997
Molecular BioSystems,Chemical biology,2005
Molecular Physics,Physical chemistry,1958
Molecules,Chemistry,1996
Nano Letters,Nanoscience,2001
Natural Product Reports,Chemistry,1984
Nature Chemistry,Chemistry,2009
Nature Materials,materials science,2002
New Journal of Chemistry,Chemistry,1977
Organic & Biomolecular Chemistry,Organic chemistry,2003
Organic Letters,Organic chemistry,1999
Organometallics,Chemistry,1982
Perkin Transactions,Chemistry,1997
Photochemical & Photobiological Sciences,Photochemistry,2002
Physical Chemistry Chemical Physics,Physical chemistry,1999
Polyhedron,Inorganic chemistry,1955
Proceedings of the Chemical Society (London),Chemistry,1841
RSC Advances,Chemistry,2011
Scientia Pharmaceutica,Pharmaceutical sciences,1930
Soft Matter,Materials science,2005
Surface Science Reports,Materials science,1981
Synlett,Chemistry,1989
Synthesis,Chemistry,1969
Talanta,Analytical chemistry,1958
Tetrahedron,Organic chemistry,1957
Tetrahedron Letters,Organic chemistry,1959
Theoretical Chemistry Accounts,Chemistry,1962
Zeitschrift für Physikalische Chemie,Physical chemistry,1887
Zeitschrift für Naturforschung,Chemistry,1946
Zeitschrift für Naturforschung B,Chemistry,1947
American Journal of Science,Earth Science,1818
Earth Interactions,Geophysics,1996
EOS,Earth science,1919
Geoscientific Model Development,Geosciences,2008
Nature Geoscience,Geosciences,2008
Revista Mexicana de Ciencias Geológicas,Geology,1976
Zeitschrift für Geologische Wissenschaften,Geology,1973
Advances in Atmospheric Sciences,Atmospheric sciences,1984
Agricultural and Forest Meteorology,Meteorology,1964
Atmospheric Chemistry and Physics,Geosciences,2001
Atmospheric Research,Atmospheric sciences,1986
Boundary-Layer Meteorology,Meteorology,1971
Bulletin of the American Meteorological Society,Meteorology,1920
Climate Dynamics,Climatology,1986
Climatic Change,Climatology,1978
Climate Research,Climatology,1990
Journal of Applied Meteorology and Climatology,Meteorology,1962
Journal of Atmospheric and Oceanic Technology,Atmospheric sciences,1984
Journal of Climate,Climatology,1988
Journal of Geophysical Research,Geophysics,1896
Journal of Hydrometeorology,Hydrometeorology,2000
Journal of the Atmospheric Sciences,Atmospheric sciences,1944
Monthly Weather Review,Atmospheric sciences,1872
National Weather Digest,Meteorology,1976
Quarterly Journal of the Royal Meteorological Society,Meteorology,1871
Tellus A,Atmospheric sciences,1949
Tellus B,Atmospheric sciences,1948
Weather and Forecasting,Meteorology,1986
Geochimica et Cosmochimica Acta,Geochemistry,1950
Organic Geochemistry,Organic geochemistry,1977
Quaternary Geochronology,Geochronology,2006
Andean Geology,Geology,1974
Atlantic Geology,Geology,1965
Bulletin of Volcanology,Earth sciences,1922
Canadian Journal of Earth Sciences,Earth sciences,1963
Earth Surface Processes and Landforms,Geology,1976
Earth and Planetary Science Letters,Planetary science,1966
GeoArabia,Geoscience,1996
Geology,Geology,1973
Geophysical Journal International,Geophysics,1922
International Journal of Speleology,speleology,1964
The Journal of Geology,Geology,1893
Journal of Geophysical Research,Geophysics,1896
Journal of South American Earth Sciences,Geology,1988
PALAIOS,Paleontology,1986
Andean Geology,Geology,1974
Scripta Geologica,Paleontology,1881
American Mineralogist: An International Journal of Earth and Planetary Materials,Mineralogy,1916
Contributions to Mineralogy and Petrology,Earth sciences,1947
Journal of Petrology,Petrology,1960
Mineralium Deposita,Earth Sciences,1967
Astronomy & Geophysics,Astronomy,1960
Geophysical Journal International,Geophysics,1922
Geophysical Research Letters,Geophysics,1974
Geophysics,Geophysics,1936
Journal of Geophysical Research,Geophysics,1896
Physics of the Earth and Planetary Interiors,Planetary science,1967
Reviews of Geophysics,Geophysics,1963
Tectonophysics,Geophysics,1964
Water Resources Research,Hydrology,1965
Journal of Geophysical Research,Geophysics,1896
Journal of Physical Oceanography,Oceanography,1971
Ocean Science,Oceanography,2005
Paleoceanography,Paleoceanography,1986
Acta Physica Polonica,atomic,1920
Advances in Physics,Condensed matter physics,1952
Anales de Física,Physics,1968
Annalen der Physik,Physics,1799
Applied Physics Letters,Applied physics,1962
Canadian Journal of Physics,Physics,1929
Central European Journal of Physics,Physics,2003
Foundations of Physics,Physics,1970
Journal of Applied Physics,Physics,1931
Journal of the Korean Physical Society,Physics,1968
Nature Physics,applied physics,2005
New Journal of Physics,Physics,1998
Pramana,Physics,1973
Physical Review,Physics,1893
Physical Review Letters,Physics,1958
Physics Essays,Physics,1988
Physics Reports,Physics,1971
Progress of Theoretical and Experimental Physics,Theoretical physics,1946
Reports on Progress in Physics,Physics,1934
Reviews of Modern Physics,Physics,1929
Wave Motion,Wave motion,1979
Zeitschrift für Naturforschung,Chemistry,1946
Zeitschrift für Naturforschung A,Physics,1947
The Astronomical Journal,Astronomy,1849
Astronomy and Astrophysics,Astronomy,1969
Astroparticle Physics,Astroparticle physics,1992
The Astrophysical Journal,Astronomy,1895
Astrophysics and Space Science,Astronomy,1968
Icarus,Planetary science,1962
Journal of Cosmology and Astroparticle Physics,Cosmology,2003
Journal of the Korean Astronomical Society,Astronomy,1968
Monthly Notices of the Royal Astronomical Society,Astronomy,1827
European Physical Journal D: Atomic Molecular Optical and Plasma Physics,Atomic Physics,1998
Journal of Physics B: Atomic Molecular and Optical Physics,Physics,1968
Laser Physics (journal),Laser physics,1990
Molecular Physics,Physical chemistry,1958
Physical Review A: Atomic Molecular and Optical Physics,Atomic molecular and optical physics,1970
Astrophysics and Space Science,Astronomy,1968
Canadian Journal of Physics,Physics,1929
Journal of Applied Physics,Physics,1931
Journal of Geophysical Research,Geophysics,1896
Physics of Fluids,Fluid dynamics,1958
Physics of Plasmas,Plasma physics,1994
Physical Review E: Statistical Nonlinear and Soft Matter Physics,Many-body phenomena,1993
Acta Physica Polonica,atomic,1920
European Physical Journal A: Hadrons and Nuclei,Nuclear Physics,1998
European Physical Journal C: Particles and Fields,Physics,1998
Nuclear Physics,Nuclear physics,1956
Nuclear Instruments and Methods in Physics Research,Physics,1984
Physical Review,Physics,1913
Physical Review,Physics,1970
Applied Optics,Optics,1962
Applied Physics B,Physics,1994
Journal of Optics,Optics,1912
Journal of Modern Optics,Optics,1954
Journal of the Optical Society of America,Optics,1917
Nature Photonics,Photonics,2007
Optics Communications,optics,1969
Optics Express,Optical science,1997
Optics Letters,Optics,1977
Physical Review E: Statistical Nonlinear and Soft Matter Physics,Many-body phenomena,1993
Journal of Computational Physics,Computational physics,1966
Computational Materials Science,Materials science,1992
Computer Physics Communications,Computational physics,1969
Applied Physics A: Materials Science and Processing,Physics,1973
European Physical Journal B: Condensed Matter and Complex Systems,Condensed Matter,1998
Journal of Physics: Condensed Matter,Condensed matter physics,1989
Journal of Magnetism and Magnetic Materials,Magnetism,1975
Modern Physics Letters B,Physics,1987
Nature Materials,materials science,2002
Philosophical Magazine,Multidisciplinary,1798
Physica,Physics,1934
Physica,Physics,1975
Physica,Physics,1980
Physica Status Solidi,Solid state physics,1961
Physical Review B: Condensed Matter and Materials Physics,condensed matter physics,1970
Physics of Fluids,Fluid dynamics,1958
Science and Technology of Advanced Materials,Materials science,2000
Synthetic Metals,Materials science,1979
Journal of Low Temperature Physics,Physics,1969
Chemical Physics Letters,Chemical physics,1967
Journal of Chemical Physics,Chemical physics,1933
Physical Chemistry Chemical Physics,Physical chemistry,1999
Journal of Polymer Science Part B,Polymer science,1946
European Physical Journal E: Soft Matter and Biological Physics,Biophysics,2000
Soft Matter,Materials science,2005
Journal of Medical Physics,Medical physics,1976
Physics in Medicine & Biology,Physics,1956
Biophysical Reviews and Letters,Biophysics,2006
European Biophysics Journal,Biophysics,1974
Journal of Statistical Physics,Physics,1969
Nonlinearity,Nonlinear systems,1988
Physica,Physics,1998
Advances in Theoretical and Mathematical Physics,Theoretical physics,1997
Communications in Mathematical Physics,Mathematical Physics,1965
Electronic Journal of Theoretical Physics,Theoretical physics,2003
International Journal of Theoretical Physics,Physics,1968
Journal of Mathematical Physics,Mathematical physics,1960
Nuclear Physics,Nuclear physics,1956
Progress of Theoretical and Experimental Physics,Theoretical physics,1946
Theoretical and Mathematical Physics,quantum mechanics,1969
Geophysical Journal International,Geophysics,1922
Geophysical Research Letters,Geophysics,1974
Journal of Geophysical Research,Geophysics,1896
Physics of the Earth and Planetary Interiors,Planetary science,1967
Reviews of Geophysics,Geophysics,1963
African Invertebrates,Zoology,1906
Alces,Moose,1963
American Journal of Botany,Botany,1914
The American Naturalist,Ecology,1867
Annual Review of Ecology Evolution and Systematics,Ecology,1970
Annual Review of Plant Biology,Botany,1950
BioEssays,Biology,1984
Biological Research For Nursing,Nursing,1999
Biology Letters,Biology,2005
Biology of Reproduction,Reproductive biology,1969
Biometrika,Statistics,1901
Canadian Journal of Forest Research,Forestry,1971
Cell,Biology,1974
Central European Journal of Biology,Biology,2006
Conservation Biology,Conservation biology,1987
Contributions to Zoology,Zoology,1848
Disease Models & Mechanisms,Medicine,2008
Ecology,Ecology,1920
Ecology Letters,Ecology,1998
Emu,Ornithology,1901
European Journal of Human Genetics,Human genetics,1993
Evolution,Evolutionary Biology,1946
The FASEB Journal,Biology,1912
Forest Ecology and Management,Forestry,1977
Functional Ecology,Functional ecology,1987
Genetica,Genetics,1919
Genetics,Genetics,1916
Genome Biology,Genomics,2000
Genome Research,Genetics,1991
International Journal of Biological Sciences,Life sciences,2005
Journal of Biological Chemistry,Biochemistry,1905
Journal of Crustacean Biology,Carcinology,1981
Journal of Ecology,Plant ecology,1913
Journal of Evolutionary Biology,Evolutionary biology,1988
The Journal of Experimental Biology,Comparative physiology,1923
Journal of Human Evolution,Evolutionary biology,1972
Journal of Lipid Research,Lipids,1959
Journal of Mammalogy,Mammalogy,1919
Journal of Molecular Biology,Molecular biology,1959
Journal of Molluscan Studies,Malacology,1893
Journal of Structural Biology,Structural biology,1957
Journal of Theoretical Biology,Theoretical biology,1961
Journal of Zoology,Zoology,1830
Microbiology and Molecular Biology Reviews,Microbiology,1937
Molecular & Cellular Proteomics,Proteomics,2002
Molecular Biology and Evolution,Evolutionary biology,1983
Molecular Phylogenetics and Evolution,Phylogeny,1992
Molecular Systems Biology,Systems biology,2005
Nature Reviews Drug Discovery,Pharmacology,2002
Nature reviews. Genetics,Genetics,2000
Nature Reviews Immunology,Immunology,2001
Nature Reviews Microbiology,Microbiology,2003
Nature Reviews Molecular Cell Biology,Molecular biology,2000
Oikos,Ecology,1949
Phytochemistry,Phytochemistry,1961
Plant Physiology,Plant biology,1926
PLOS Biology,Biology,2003
The Quarterly Review of Biology,Biology,1926
Revista Chilena de Historia Natural,Ecology,1897
The Scientific World Journal,Biology,2001
Zeitschrift für Naturforschung,Chemistry,1946
Zeitschrift für Naturforschung C,Biosciences,1973
Zoologische Mededelingen,Zoology,1915
Journal of Animal Science,Agriculture,1910
Journal of Food Science,Food science,1936
Microscopy Research and Technique,Microscopy,1984
Annual Review of Biochemistry,Molecular biology,1932
Biochemical and Biophysical Research Communications,Biochemistry,1959
Biochemical Journal,Biochemistry,1906
Biochemical Society Transactions,Biochemistry,1973
Biochemistry,Biochemistry,1962
Biochimica et Biophysica Acta,Biochemistry,1947
Biotechnology and Applied Biochemistry,Biotechnology,1979
FEBS Journal,Biochemistry,1906
The Journal of Biochemistry,Biochemistry,1922
Journal of Biological Chemistry,Biochemistry,1905
Methods in Enzymology,Biochemistry,1955
Molecular and Cellular Biochemistry,Biochemistry,1973
Nucleic Acids Research,Nucleic acids,1974
Bioinformatics,Computational biology,1998
BMC Bioinformatics,Bioinformatics,2000
Cancer Informatics,Biomarkers,2005
Evolutionary Bioinformatics,Computational,2005
Structure,Structural biology,1993
Genes Brain and Behavior,Neuroscience,2002
Nature Neuroscience,Neuroscience,1998
Nature Reviews Neuroscience,Neuroscience,2000
Neural Regeneration Research,Neurology,2006
Neuron,Neuroscience,1988
Journal of Neurophysiology,Neuroscience,1938
The Journal of Neuroscience,Neuroscience,1981
AIDS,HIV,1987
AIDS Research and Human Retroviruses,AIDS,1983
Antiviral Chemistry & Chemotherapy,Antiviral drugs,1990
Antiviral Research,Antiviral drugs,1981
Antiviral Therapy,Antiviral drugs,1996
Journal of Acquired Immune Deficiency Syndromes,AIDS,1988
Journal of General Virology,Virology,1967
Journal of Virology,Virology,1967
Virology,Virology,1955
Virology Journal,Virology,2004
Sylwan,Forestry,1820
The Indian Forester,Forestry,1875
Journal of Forestry,Forestry,1902
Agricultural and Forest Meteorology,Meteorology,1964
Bosque,Forestry,1975
Canadian Journal of Forest Research,Forestry,1971
Forest Ecology and Management,Forestry,1977
Forest Pathology,Forest pathology,1971
New Zealand Journal of Forestry,Forestry,1925
Plant Ecology,Plant ecology,1948
Unasylva,Forestry,1947
Unasylva,Forestry,1947
Journal of Informetrics,Informetrics,2007
Acta Entomologica Musei Nationalis Pragae,entomology,1923
Acta Zoologica Academiae Scientiarum Hungaricae,Zoology,1954
Acta Zoologica Bulgarica,Zoology,1949
Acta Zoológica Mexicana,Zoology,1955
Acta Zoologica,Zoology,1920
African Invertebrates,Zoology,1906
African Zoology,Zoology,1965
Alces,Moose,1963
American Journal of Primatology,Primatology,1981
Animal Biology,Zoology,1872
Arctic,Multidisciplinary,1948
Australian Journal of Zoology,Zoology,1953
Australian Mammalogy,Mammalogy,1972
Central European Journal of Biology,Biology,2006
Contributions to Zoology,Zoology,1848
Copeia,Ichthyology,1913
Crustaceana,Carcinology,1960
Environmental Biology of Fishes,Ichthyology,1976
Frontiers in Zoology,Zoology,2004
Herpetological Monographs,Herpetology,1982
Integrative and Comparative Biology,Biology,1961
International Journal of Acarology,Acarology,1975
International Journal of Primatology,primatology,1980
Journal of Crustacean Biology,Carcinology,1981
Journal of Experimental Zoology,Zoology,1904
Journal of Fish Biology,Ichthyology,1969
Journal of Mammalogy,Mammalogy,1919
Journal of Molluscan Studies,Malacology,1893
Journal of Morphology,Anatomy,1887
Journal of Zoology,Zoology,1830
Malacologia,Malacology,1962
North-Western Journal of Zoology,Zoology,2005
Physiological and Biochemical Zoology,Zoology,1928
Rangifer,Reindeer husbandry,1981
Zoo Biology,Zoology,1982
ZooKeys,Taxonomy,2008
Zoological Science,Zoology,1984
Zoologische Mededelingen,Zoology,1915
Zoologicheskii Zhurnal,Zoology,1916
Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg,Pure mathematics,1922
Abstract and Applied Analysis,Mathematics,1996
Acta Applicandae Mathematicae,Applied mathematics,1983
Acta Mathematica,Mathematics,1882
Acta Mathematica Hungarica,Mathematics,1950
Acta Mathematica Sinica,Mathematics,1985
Acta Mathematicae Applicatae Sinica,Applied mathematics,1984
Acta Numerica,Numerical analysis,1992
Advances in Applied Clifford Algebras,Mathematics,1991
Advances in Applied Mathematics,Applied Mathematics,1980
Advances in Difference Equations,Difference equations,2004
Advances in Geometry,Geometry,2001
Advances in Mathematics,Mathematics,1961
Advances in Theoretical and Mathematical Physics,Theoretical physics,1997
Algebraic & Geometric Topology,Topology,2001
American Journal of Mathematics,Mathematics,1878
Analysis and Applications,Mathematics,2003
Annales Academiae Scientiarum Fennicae. Mathematica,Mathematics,1941
Annales Henri Poincaré,Physics,2000
Annales Scientifiques de l'École Normale Supérieure,Mathematics,1864
The Annals of Applied Probability,Probability,1991
Annals of Functional Analysis,Functional analysis,2010
Annals of Mathematical Statistics,Statistics,1930
Annals of Mathematics,Mathematics,1874
Annals of Probability,Probability theory,1973
Annals of Statistics,Statistics,1973
Archiv der Mathematik,Mathematics,1948
Archive for Mathematical Logic,Mathematical logic,1950
Arkiv för Matematik,Mathematics,1949
Ars Mathematica Contemporanea,Mathematics,2008
